unique_id,Absolute energy,Area under the curve,Autocorrelation,Average power,Centroid,ECDF Percentile Count_0,ECDF Percentile Count_1,ECDF Percentile_0,ECDF Percentile_1,ECDF_0,ECDF_1,ECDF_2,ECDF_3,ECDF_4,ECDF_5,ECDF_6,ECDF_7,ECDF_8,Entropy,Histogram mode,Interquartile range,Kurtosis,Max,Mean,Mean absolute deviation,Mean absolute diff,Mean diff,Median,Median absolute deviation,Median absolute diff,Median diff,Min,Negative turning points,Neighbourhood peaks,Peak to peak distance,Positive turning points,Root mean square,Signal distance,Skewness,Slope,Standard deviation,Sum absolute diff,Variance,Zero crossing rate
M1::pattern0::L12,205560000.0,33900.0,1.0,25695000.0,3.294080560420315,1.0,7.0,1680.0,6480.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,1932.0,4440.0,-1.671913587328644,6720.0,4333.333333333333,1854.8148148148148,3615.0,-375.0,4080.0,2160.0,4320.0,-420.0,1680.0,4.0,0.0,5040.0,3.0,4779.121258139408,28920.00132116277,-0.08651685052759536,-282.0000000000004,2015.4955277107965,28920.0,4062222.222222222,0.0
M10::pattern0::L12,160036000.0,32500.0,1.0,20004500.0,4.893241520657852,1.0,7.0,3120.0,4780.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,3284.0,1520.0,-0.0519883805540049,6400.0,4084.4444444444443,890.3703703703703,990.0,205.0,3560.0,320.0,760.0,220.0,3120.0,3.0,0.0,3280.0,2.0,4216.844528528148,7920.010210917303,1.0856645938870781,272.99999999999966,1048.3755806125453,7920.0,1099091.3580246912,0.0
M100::pattern0::L12,346497700.0,49940.0,1.0,43312212.5,4.184163993007746,1.0,7.0,5100.0,6340.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,6326.5,760.0,-0.9026982870294318,7330.0,6163.333333333333,569.6296296296297,1095.0,12.5,6190.0,610.0,1120.0,355.0,5100.0,2.0,0.0,2230.0,3.0,6204.81622970773,8760.00629728739,0.367927214331316,81.666666666666,716.2867209900422,8760.0,513066.66666666657,0.0
M1001::pattern0::L12,265557773.77999997,43456.1,3.0,33194721.722499996,4.071074511513403,1.0,7.0,5323.0,5503.3,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,5333.389999999999,142.69999999999982,-1.5190504973298329,5530.8,5431.444444444444,69.32839506172837,29.574999999999932,25.975000000000023,5443.4,74.30000000000018,30.600000000000364,30.600000000000364,5323.0,1.0,0.0,207.80000000000018,1.0,5431.981158738392,236.79223202666458,-0.157987655060639,28.984999999999904,76.35807620984917,236.59999999999945,5830.555802469134,0.0
M1003::pattern0::L12,212188951.68,38862.25,3.0,26523618.96,4.050704706983168,1.0,7.0,4759.1,4898.1,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,4904.355,82.60000000000036,-0.9739435367431417,4912.0,4855.311111111111,45.320987654320966,20.587499999999864,19.112499999999955,4882.4,29.600000000000364,16.949999999999818,16.949999999999818,4759.1,1.0,0.0,152.89999999999964,1.0,4855.568986912519,165.23559857177165,-0.5808794267520498,18.506666666666387,50.0419922430584,164.6999999999989,2504.2009876543175,0.0
M1004::pattern0::L12,356547200.0,50337.0,1.0,44568400.0,4.019562282357007,1.0,7.0,6244.0,6333.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,0.9298966940476158,6249.7,88.0,-1.6456224431094622,6358.0,6294.0,40.666666666666664,50.75,12.25,6299.0,44.0,47.0,24.0,6244.0,2.0,0.0,114.0,2.0,6294.15248906122,406.51646403879045,0.06587319615279973,9.216666666665947,43.81273280172735,406.0,1919.5555555555557,0.0
M1006::pattern0::L12,318136161.365,47543.725,3.0,39767020.170625,4.098116680216642,1.0,7.0,5786.25,6032.4,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,5803.1925,182.5,-1.2623620927282708,6125.1,5944.377777777777,97.97530864197526,42.356250000000045,42.356250000000045,5932.15,100.25,40.32499999999982,40.32499999999982,5786.25,0.0,0.0,338.85000000000036,0.0,5945.457288879375,338.9525098915233,0.17322544692014047,43.709999999999624,113.29258118084034,338.85000000000036,12835.2089506173,0.0
M1007::pattern0::L12,348057324.0,49726.0,2.0,43507165.5,4.03327537865573,1.0,7.0,6117.0,6264.5,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,6269.0,80.0,-0.7511047662788837,6277.0,6218.555555555556,43.493827160493815,33.0,9.0,6220.0,44.5,34.25,10.25,6117.0,2.0,0.0,160.0,1.0,6218.764829128048,264.3100449998452,-0.5922353384074861,15.52499999999911,51.017668205591306,264.0,2602.8024691358023,0.0
M1008::pattern0::L12,470231334.38,57835.35,3.0,58778916.7975,4.108508319075068,1.0,7.0,6974.8,7389.9,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,7411.135,272.59999999999945,-1.2605771387538474,7434.1,7226.644444444444,132.2493827160495,57.41250000000002,57.41250000000002,7216.2,156.30000000000018,51.5,51.5,6974.8,0.0,0.0,459.3000000000002,0.0,7228.272687317643,459.39416350971186,-0.07635899702462817,58.8783333333329,153.41484870268965,459.3000000000002,23536.11580246916,0.0
M1009::pattern0::L12,441338349.84,56011.899999999994,1.0,55167293.73,4.033190361466006,1.0,7.0,6853.8,7091.8,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,6927.4,176.80000000000018,-1.4709930928478288,7148.2,7002.0,90.9777777777777,97.62499999999989,22.774999999999977,7040.2,108.0,82.19999999999982,32.5,6853.8,2.0,0.0,294.39999999999964,1.0,7002.684801322037,781.1813694211241,-0.04920479134195689,17.406666666665984,97.9307238136564,780.9999999999991,9590.42666666665,0.0
